Timestamp,Date,Ethereum,Terra,Fantom,BSC,Avalanche,Solana,Tron,Polygon,Cronos,Arbitrum,Waves,Osmosis,Klaytn,DefiChain,Harmony,Kava,Astar,Ronin,Elrond,Heco,Parallel,Aurora,Moonriver,Celo,Optimism,Mixin,Metis,Gnosis,EOS,Theta,Thorchain,Telos,Cardano,Oasis,Fusion,Moonbeam,Bitcoin,Near,RSK,Stacks,OKExChain,NEO,IoTeX,Tezos,Algorand,Secret,Icon,Godwoken,Sifchain,Everscale,Boba,Songbird,Wanchain,KCC,Ontology,Stellar,Velas,Karura,smartBCH,Fuse,Sora,Ultra,VeChain,Kardia,Zilliqa,Shiden,CSC,Energi,Nuls,Callisto,Elastos,ThunderCore,Wax,Nahmii,Genshiro,Ergo,Meter,TomoChain,Syscoin,EnergyWeb,Lamden,Conflux,Ubiq,XDC,Polis,Binance,CosmosHub,Hoo,Polkadot,ZYX,Curio,HPB,GoChain,Kusama,Liquidchain,Palm,Bittorrent,EthereumClassic,zkSync
1637712000,24/11/2021,157669236943.6773,9682573850.94022,4610367775.654494,18512370242.17017,12885814958.970703,14208000026.227331,6272694294.636926,4802987666.952667,907085231.1519339,2345535269.983788,1594481691.74304,699011916,887779806.27,,523327149.0565713,675861355.788762,,1284408431.0398903,1977267075.904157,1133392778.336526,,144095993.95546952,383515457.77191997,886429223.3916416,364351758.84529966,,,130080914.47495346,147132680.40707764,,304331650.4154507,3350685.278364,,,93708790.6150671,,191633704.8392187,118750097.988583,196614222.20380005,,302735794.2759398,161751754.72134417,11440682.09302362,119108527.65895352,89407493.603522,81872298.26542562,254942223.56,,40329919.25,,600858709.5545375,11308351.64092351,89326319.87343478,50755409.17920905,72615093.875785,8727230,,77514056.58340652,29016546.216215003,3835031.188147623,58323029.19,7385761.210576,,37823441.81887542,50671644.17430601,817199.7224475886,,14058649.640856015,12791832,,6723592.53121028,8760590.73237945,,,2986508.925393,,,5867356.936420151,,6518053.779749177,4527610.367764598,4040084.238382081,,,2240041.400991,,7084332.9018,308347.4526750497,2488704.547,135880.3603855837,,148534.24157550948,182143.3266954712,33981.5559,,192.47898726590765,,,0
1637798400,25/11/2021,156926327381.19006,9104037696.094307,4899338134.203817,18794364892.83142,12983454500.532522,14315215703.826265,6149886673.940768,4806867917.294871,954977049.6014173,2338232468.093737,1559697210.9147687,652948463,939936666.0832549,,567466342.5451198,678482363.9537306,,1258593473.0738702,2104537423.63899,1121759657.0550327,,149714883.6982541,371448791.7318798,863620907.2648597,358974594.877843,,,132669711.32253031,145855208.80806634,,308372541.0154408,3338768.7559740003,,,93654597.9033095,,189572670.96633175,111554254.67928731,195733274.6848601,,297155232.9418917,159519808.65198952,11134181.594146505,119190912.78707695,89549838.31663826,85358275.50630727,241638453.58,,35883952.88,,602333241.6051748,34231566.29615933,89446223.47486788,52885253.83286352,70515760.87992199,8596736,,74032844.62384014,32361844.79971276,3812192.406225335,56605074.93,8235249.558234,,43071378.75231575,48241416.111294776,811482.3493811395,,13598582.481319373,13189145,,6722190.1586430855,9585749.635248387,,,2993368.96172,,,5658357.064752935,,6806744.293777002,5153493.136879607,3944892.257610045,,,2102316.003034,,6851084.865,319472.52236237103,2415270.9294000003,139421.16199309452,,135408.78383787785,181183.78018680454,33108.8896,,199.55325171700272,,,0
1637884800,26/11/2021,161561766744.21826,9794062228.619623,4900190149.917689,18722823074.910023,13177260010.85965,14307227313.621449,6240291765.559273,4982530412.998435,924200137.2972584,2364784713.538319,1552738631.150698,652724431.5239999,989758212.3052529,,586920180.0391506,703400592.2061313,,1313573739.1608229,2110420988.4363823,1163810508.3958573,,143520380.37847787,375232119.40427655,888724556.0544411,363801076.5376439,,,140193354.91614515,147874256.60255754,,322211446.5696102,3470683.8173004193,,,96688437.15458976,,196466711.53679174,110060771.49648133,201338860.79335234,,297249530.6093326,164079054.16367337,10976681.304550031,121616716.01099169,92981886.9116986,79255916.72043294,245725524.39,,41709125.64,,624198434.3469669,31593238.59487968,94489775.92710656,57864137.61880049,73625434.17848401,9149626.960915,,72732720.1808343,32464393.040630654,3729655.1159880115,53243365.11318195,7761995.724304578,,42960468.94718,47916364.3080052,858475.8651763806,,14133612.370165078,22466344,,6823965.772188599,9791221.92254252,,,3022275.1556499996,,,5626205.013852175,,6749137.360223911,4873485.288950297,4025089.877597837,,,2145380.1453299737,,6743903.3488,314898.6322502953,2482741.4337,145447.9782568287,,141035.43546083526,183447.4217353127,33955.2976,,198.4303041068646,,,0
1637971200,27/11/2021,151157490197.83746,9508625727.28105,4419564113.381322,18472086858.723248,12194098042.836746,13409369166.205933,5882994506.821384,4728620605.706683,868035886.7224077,2136180566.4840553,1479621998.3882167,600093670.6710991,913523084.9261891,,514687514.9999538,650036165.5570707,,1182969088.7327518,1978052893.0093453,1139999839.6341786,,107053809.88113597,358554398.7709048,790373539.3289391,343939201.009006,,,140238952.32356757,138229450.83405194,,297455682.98951215,3309195.5729900007,,,93035879.4005925,,180711094.29952255,98696085.520729,184685514.71975264,,270520366.97278225,151339079.70339674,9875300.813070783,115529184.39382648,85368628.1995752,82557540.4888138,201261094.07999998,,40942190.43,,545826057.5122936,29567766.402334638,84120021.36319908,52792769.82625502,70378304.38939099,8793378.501651,,70280048.43575265,30783696.74750724,3479783.6434310377,47523653.81169597,7622146.995533,,39309727.57335388,44979253.53844936,829568.1742933777,,12542521.495329695,22383660,,7032351.762692817,9054715.484450262,,,2921097.1898040003,,,5483002.502456711,,6695022.579041598,4189895.4992521587,3828330.9251098437,,,1952121.78047,,6134541.8864,284123.49754821416,2197590.4328,125944.53150459757,,131729.00138478877,166587.91610229877,31367.2225,,199.08184977998798,,,0
1638057600,28/11/2021,151693589725.90247,9744320800.835642,4403386485.575797,18545982575.583046,12619330866.539722,13359813742.196182,5871032655.869118,4761789160.957603,956717717.8071852,2109435478.2451792,1458793978.8600543,607622960.374888,917511281.8958654,,523648940.9724227,639587180.2894655,,1199658203.3780026,2125757827.1522312,1155203558.748834,,103547356.50471105,360279579.00276744,788119394.3772388,346185774.645409,,,139927764.39616287,139547410.11405298,,300098964.02694994,3228298.2104077404,,,0,,182322493.58020237,98687240.90267915,182092765.75503242,,270569508.13725066,152964498.46896678,9698199.636023788,114487462.0443941,87033531.47365108,70344960.61517382,202690189.09,,46746742.02,,538562488.442005,37793916.11482312,84714964.36934721,51727541.609188154,71972352.13854001,9129992.441871999,,71663943.60412392,32700931.409209754,3455631.8861037493,48406414.64523618,8438864.126996253,,38230341.08395781,46107802.45767897,835611.8356684959,,12967982.958194742,19004376,,7007083.967943171,9203982.723653816,,,2907735.015361,,,5023624.488027747,,6657164.953218187,3554575.74749502,3891782.106695908,,,2001598.5931621955,,5870754.472599999,293566.23349474213,2094519.7312,127303.06911101897,,133390.62798097814,174951.14340799954,32391.321599999996,,197.50275550498753,,,0
1638144000,29/11/2021,156354694023.92834,10688240314.14775,4504670534.714468,19001530871.676395,12862273125.130018,13843302306.33211,6050293970.456893,4877729023.491463,985146749.5694752,2024030731.0138855,1526544552.1728556,618822240,942147112.2484953,,520797419.51368564,653511207.1005144,,1252826791.643344,1975695591.6027572,1187842378.4974089,,103232197.12394108,364753634.69446313,802736101.0614427,351428841.5657388,,,140871902.0722902,141128219.31616992,,308756617.2880445,3215694.4868570003,,,94929576.80792548,,188501843.29463714,99240840.33860032,186522788.29725394,,278686328.49139225,155755400.88860372,9748373.975721555,113902375.64012492,90990831.15091187,73463079.89670278,203945283.32,,47336753.22,,529310226.7258196,39765556.2318269,84736084.25821419,52597612.04292093,70804885.69088198,8552485.172805,,75322491.02679877,34001549.50278418,3847106.3754942296,48071411.37594556,8524695.238856,,37283663.66062292,46955169.61909377,828770.2722503338,,12986355.580175083,19105021,,7204053.087321537,9333968.107719524,,,2927208.691873,,,5312210.94969215,,6371089.855025381,3201441.4115928747,3995501.047068025,,,2203558.6370309107,,6227906.3763,294672.0893226412,2252655.006,263730.93161993055,,142570.2658445732,174163.33240819833,35132.0216,,203.11085325857755,,,0
1638230400,30/11/2021,159651431722.20828,10932539690.364004,4621289126.936804,19245183632.100807,13354059099.021103,14231190094.96492,6143679384.527546,5018781736.394427,1007441647.5808523,2048990107.4463356,1588423304.7035275,632891150.9919059,1001234450.1069772,,552679516.5007155,664721998.4193121,,1303382051.0841396,1944489217.045699,1111801696.0805266,,100509259.33302228,364001599.1436105,819548967.1078293,361908483.8090135,,,141501734.88536552,142084229.11585382,,300313833.0266995,3312669.717097,,,98381569.5787841,,194306085.5157557,101501880.591578,190758645.65820074,,279047903.8681491,156982698.08585805,9063391.07645221,124211381.07873303,95168151.92527935,75679595.08904968,201361455.14,,47172707.51,,486435354.69142944,41332676.71899688,86148170.51514016,53915941.54762699,72618951.827138,12473166,,76288777.89899853,34551314.42764547,4014071.7073415965,52278435.52,8126613.13052,,36615586.75426884,46990137.002739616,1027573.4380842643,,13263635.068977162,19148588,,7145497.903027756,9875154.453328187,,,2941281.351491,,,4810532.509357482,,6545443.042687915,3699249.944018605,4054376.4457488707,1816241.9004327746,,2262804.02873,,6385009.4385,306067.9824420176,2357961.525,294014.32285482873,,144244.98231397214,179670.1264518226,36941.166900000004,,182.37812091191927,,,0
1638316800,01/12/2021,162787383624.4245,11919019386.957636,4643545927.35947,19242430510.110455,13664182946.248491,14419032435.941727,6123868978.4168625,5033774028.117875,1023622304.2437079,2081546559.0705914,1566175985.8614664,643602548.02808,989880715.395857,,560991931.1331679,665870088.2624999,,1389108751.0358353,1855218957.493659,1097764410.418733,,104457214.83142921,360064284.9633503,842915907.0259982,365268060.7078161,291852102.5,399654.2575622118,141467736.76819968,141894785.85557222,,299747670.7020756,3141080.8124907305,,,100277547.51595809,,193470059.99755558,101845856.57850474,190321534.27865237,,245645704.1166768,152454557.7646098,8880838.48681481,121861792.99579462,96679145.04274595,74208357.22723046,196777954.82999998,,49686794.66,25003321.165739235,454029571.7787515,41326377.65355401,85312209.6841169,55638606.76644308,69106509.45945701,12747056.54582,,83902418.3493084,35464701.18389926,4424203.7968105385,52814078.12620992,7167735.014607373,,36083687.1537826,45689985.60060982,983780.1995888994,,13192482.688387454,19234301,,7051136.738298543,9842487.257767808,,,2941250.3861400005,,,4831218.155112107,,6629858.8370315125,3692400.3099316536,4090867.7065033577,1815970.7064068664,,2147794.880760994,,6314513.3795,321104.1983109307,2398920.8652,357649.6719952734,,124921.72070969285,175963.66824133886,39498.509999999995,,198.64606179528238,,,0
1638403200,02/12/2021,162132272469.9432,12750108283.23874,4675899207.881511,19250399119.628143,13710438435.237339,14918704937.746958,6128408824.182896,5075323638.77569,1063324317.3583639,2024928406.263067,1658220213.7402842,639306841.58006,1078340877.7460194,,556172354.5695493,666978133.3218908,,1422581753.6433768,2042110080.9180765,1074670110.2206602,,100555358.85709378,354389054.6312107,780843800.6393677,356063261.5818878,288358434.81,382360.25797525246,144066877.1077324,140595776.78066587,,293069113.0242774,3322093.7796210004,,,100629813.29097976,,192349825.55494052,97218691.31969917,187472729.56740838,,279343369.36128575,147563907.81039977,8518540.14833276,118504700.70372537,103697577.75513756,71402284.4390683,198778188.06,,46914544.87,24987507.906189986,442825076.696126,42751428.654857084,85863757.97791268,55844317.67404123,69414143.756477,12692699,,81277846.66754141,35715178.41596529,4211239.286251,51446043.96,6925628.798261,31836418.248379774,35497032.701648235,44796446.696167946,909529.7498136427,,13472434.276472861,21687974,,6549417.644681214,9787247.037072714,,,2932934.0461440003,,,4703710.861212056,,6752621.01958114,6577717.119217642,4039760.553945371,1722850.4420831497,,2108271.0213978193,,5979773.579,320833.0784373463,2292632.97,410744.8598136663,,123596.70505759543,181067.76839521315,38499.589499999995,,160.08183624026162,,,0
1638489600,03/12/2021,160726177335.53857,13191636208.015907,4637865362.370124,18834345802.497437,13464558490.053871,14837044891.971478,6192046027.581779,5052673380.958612,1134757900.3219118,2006203513.3698123,1552551688.9026194,673072529.1919761,1071751956.555263,,544103975.2116214,692435379.850705,,1470930735.9804904,1534354337.630329,1059198900.437317,,102347841.36171523,353649639.6537507,788481442.7427809,353085056.1265221,286574344.67,337769.7971080234,142574130.55517724,139743140.29366806,,294659502.0516481,3203434.082124,,,106078223.91810997,,190125149.58724186,95413604.594402,187316454.01301253,,260014404.78039074,140488970.76682147,8994056.840624867,115914271.70374143,100589701.2821014,69788666.57431114,189925073.22,,48384342.5,24883608.870070808,430943148.7749173,43936696.28640917,87086880.40248266,54498027.15151648,71580531.244073,13093186.113952,,76830505.1983499,35751527.21609866,4212103.149879,50648732.19,6313464.937839,32128434.93876958,35558009.15748647,44804570.770118855,954488.9040990359,,13236870.36155568,25215127,,6480430.992885996,9545518.2667358,,,2985316.2869739993,,,4895851.804567404,,7383914.976122369,4399929.3782931,4009277.9773983518,1781962.8104223637,,2047194.362128841,,6467205.944700001,315918.8813110152,2265990.6675,407054.39624710946,,131705.51745413608,194383.06971242343,36759.8757,,159.82610469638155,,,0
